calle;calleClean;name;surname;fiabilidad;gender;category;typeofroad;wikipedia
Calle Nuestra Señora de los Reyes;Nuestra Señora de los Reyes;Nuestra Señora de los;Reyes;2;female;religiosa;pedestrian;https://es.wikipedia.org/wiki/Nuestra_Señora_de_los_Reyes_(Las_Palmas_de_Gran_Canaria)
Calle María Galiana;María Galiana;María;Galiana;2;female;artista;residential;https://es.wikipedia.org/wiki/María_Galiana
Calle Zenobia Camprubí;Zenobia Camprubí;Zenobia;Camprubí;2;female;escritora;residential;https://es.wikipedia.org/wiki/Zenobia_Camprubí
Calle La Farruca;La Farruca;La;Farruca;2;female;artista;residential;https://es.wikipedia.org/wiki/La_Araucana
Calle Madre Admirable;Madre Admirable;Madre;Admirable;2;female;religiosa;pedestrian;
Calle Dolores Ibarruri Pasionaria;Dolores Ibarruri Pasionaria;Dolores Ibarruri;Pasionaria;2;female;politica;pedestrian;https://es.wikipedia.org/wiki/Dolores_Ibárruri
Calle Madre Inmaculada;Madre Inmaculada;Madre;Inmaculada;2;female;religiosa;pedestrian;
Calle Madre Castísima;Madre Castísima;Madre;Castísima;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Madre_Santísima_de_la_Luz
Calle Madre Amable;Madre Amable;Madre;Amable;2;female;religiosa;residential;https://es.wikipedia.org/wiki/Marc-Amable_Girard
Calle Madre del Salvador;Madre del Salvador;Madre del;Salvador;2;female;religiosa;residential;
